timestamp,rmssd,coverage,low_frequency,high_frequency
2021-07-04T00:40:00,41.891,0.962,2361.379,432.767
2021-07-04T00:45:00,32.989,0.988,2269.3,300.534
2021-07-04T00:50:00,25.104,0.974,1343.964,153.283
2021-07-04T00:55:00,28.372,0.964,1164.858,157.85
2021-07-04T01:00:00,32.285,0.941,848.833,258.856
2021-07-04T01:05:00,34.754,0.93,5200.068,216.765
2021-07-04T01:10:00,33.371,0.895,746.09,156.823
2021-07-04T01:15:00,35.442,1.0,2162.147,256.986
2021-07-04T01:20:00,25.259,0.987,944.26,115.105
2021-07-04T01:25:00,34.019,0.913,2154.61,224.187
2021-07-04T01:30:00,38.625,0.952,4621.931,230.348
2021-07-04T01:35:00,37.804,0.97,1080.841,272.045
2021-07-04T01:40:00,39.896,0.989,3486.365,352.813
2021-07-04T01:45:00,31.358,0.959,1223.632,233.77
2021-07-04T01:50:00,58.525,0.967,8031.605,900.424
2021-07-04T01:55:00,42.62,1.001,1226.111,380.695
2021-07-04T02:00:00,37.676,1.005,899.875,319.273
2021-07-04T02:05:00,38.132,1.004,939.924,306.871
2021-07-04T02:10:00,38.431,0.917,506.516,291.015
2021-07-04T02:15:00,36.278,1.002,2654.144,240.689
2021-07-04T02:20:00,33.971,0.98,1435.922,266.624
2021-07-04T02:25:00,30.292,1.003,378.839,169.086
2021-07-04T02:30:00,33.608,1.004,711.204,184.632
2021-07-04T02:35:00,34.78,0.962,657.382,198.059
2021-07-04T02:40:00,54.966,0.939,3429.392,704.803
2021-07-04T02:45:00,50.627,0.921,1440.387,496.917
2021-07-04T02:50:00,46.572,1.002,2987.55,489.442
2021-07-04T02:55:00,45.878,0.975,1065.68,356.844
2021-07-04T03:00:00,40.923,1.004,348.748,289.572
2021-07-04T03:05:00,44.975,0.939,1059.804,267.32
2021-07-04T03:10:00,56.464,1.0,2409.331,611.413
2021-07-04T03:15:00,50.187,0.967,4403.142,689.442
2021-07-04T03:20:00,48.084,1.003,1035.895,385.342
2021-07-04T03:25:00,46.318,0.952,1078.253,316.984
2021-07-04T03:30:00,63.115,1.001,1817.24,639.613
2021-07-04T03:35:00,58.646,1.003,3264.61,827.198
2021-07-04T03:40:00,53.539,0.97,2412.823,550.902
2021-07-04T03:45:00,68.564,0.947,7558.779,1610.783
2021-07-04T03:50:00,45.116,0.97,2150.119,450.754
2021-07-04T03:55:00,52.839,1.0,5174.83,585.94
2021-07-04T04:00:00,54.974,0.938,2891.529,441.209
2021-07-04T04:05:00,56.303,1.003,4368.943,788.744
2021-07-04T04:10:00,52.322,0.996,3676.032,495.202
2021-07-04T04:15:00,56.424,1.003,3279.319,579.188
2021-07-04T04:20:00,57.849,0.942,651.231,796.879
2021-07-04T04:25:00,37.045,0.971,1012.825,234.32
2021-07-04T04:30:00,48.324,0.956,1727.226,444.461
2021-07-04T04:35:00,57.97,1.002,1052.448,656.891
2021-07-04T04:55:00,70.989,0.828,1225.022,787.137
2021-07-04T05:00:00,58.707,0.989,685.936,601.026
2021-07-04T05:05:00,60.322,0.98,841.374,615.176
2021-07-04T05:10:00,55.817,1.002,839.945,593.447
2021-07-04T05:15:00,57.02,1.002,438.571,672.908
2021-07-04T05:20:00,58.673,1.005,516.296,632.712
2021-07-04T05:25:00,61.003,0.99,838.078,736.761
2021-07-04T05:30:00,78.739,0.897,6053.701,1235.51
2021-07-04T05:35:00,63.31,1.005,688.405,713.83
2021-07-04T05:40:00,64.282,1.0,4448.747,916.121
2021-07-04T05:45:00,76.779,1.004,3989.563,1164.151
2021-07-04T05:50:00,71.748,1.003,1957.958,1074.561
2021-07-04T05:55:00,62.249,1.002,932.884,754.148
2021-07-04T06:00:00,68.239,1.002,2334.607,1042.256
2021-07-04T06:05:00,86.287,0.951,5909.441,1655.526
2021-07-04T06:10:00,86.324,0.954,2171.613,1272.145
2021-07-04T06:15:00,89.815,0.929,1865.434,1572.699
2021-07-04T06:20:00,84.453,1.003,2203.335,1247.013
2021-07-04T06:25:00,77.517,1.003,681.494,1068.156
2021-07-04T06:30:00,78.79,1.004,1177.669,980.615
2021-07-04T06:35:00,87.106,0.989,2660.707,1325.814
2021-07-04T06:40:00,73.445,0.915,7886.124,1220.379
2021-07-04T06:45:00,61.874,1.002,3014.566,917.667
2021-07-04T06:50:00,79.067,0.976,5723.228,1102.376
2021-07-04T06:55:00,71.704,0.989,3419.66,862.298
2021-07-04T07:00:00,87.541,0.942,4902.758,1081.961
2021-07-04T07:05:00,82.703,0.948,1772.194,1316.383
2021-07-04T07:10:00,69.69,0.944,1556.781,675.959
2021-07-04T07:15:00,72.777,1.003,2402.092,1001.648
2021-07-04T07:30:00,63.704,1.0,1093.297,649.802
2021-07-04T07:35:00,75.806,0.994,2256.945,902.516
2021-07-04T07:40:00,73.958,0.916,3953.519,745.766
2021-07-04T07:45:00,53.204,0.997,1676.77,493.613
2021-07-04T07:50:00,50.286,1.004,2442.255,672.241
2021-07-04T07:55:00,54.283,1.002,1968.079,669.261
2021-07-04T08:00:00,76.335,0.944,5378.241,864.912
2021-07-04T08:05:00,76.895,0.972,8192.257,1032.803
2021-07-04T08:10:00,80.973,0.935,6236.969,948.351
2021-07-04T08:15:00,80.191,1.002,5222.43,1045.948
2021-07-04T08:20:00,70.114,0.974,6075.386,1048.136
2021-07-04T08:25:00,78.014,0.91,3326.973,910.678
2021-07-04T08:30:00,78.965,1.002,5210.029,1243.624
2021-07-04T08:35:00,76.958,1.005,1160.87,1028.463
2021-07-04T08:40:00,74.655,0.998,5075.789,944.428
2021-07-04T08:45:00,78.02,0.891,4793.78,1178.883
